id_publicacion,usuario_comentador,comentario
16,@sofia_martin,"Hermoso viaje!"
1,@sofia_martin,"Bonita imagen!"
19,@mariagomez,"Amo a los cachorros!"
37,@mariagomez,"Que deliciosa se ve esa comida"
11,@david22,"Amo a los perros!"
16,@mariagomez,"Amo viajar!"
13,@andres_93,"Que triste noticia"
9,@pablo_santos,"No me gustan los deportes"
8,@mariagomez,"Que rapido es ese auto"
14,@juancarlos82,"Que increible jugada"
5,@juliana19,"Maravilla!"
10,@andres_93,"Desastroso"
20,@juliana19,"Gran trama!"
17,@mariagomez,"Que bonito gato"
29,@mariagomez,"Los gatos me dan alergia!"
28,@mariagomez,"Amo la tecnologia!"
9,@andres_93,"Desastroso"
9,@david22,"Lamentable"
10,@pablo_santos,"Fantastico!"
40,@juancarlos82,"Increible!"
27,@luciana_vega,"Quiero probarla ya!"
11,@andres_93,"Que lindo cachorro"
9,@luciana_vega,"Espectacular!"
39,@luciana_vega,"Espectacular!"
16,@luciana_vega,"Increible experiencia!"
38,@juliana19,"Que desastre"
3,@juliana19,"Que horrible"
20,@pablo_santos,"Maravilloso!"
5,@pablo_santos,"Genial"
22,@sofia_martin,"Me gusta mucho"
40,@luciana_vega,"Desastroso!"
21,@luciana_vega,"Maravilloso clima!"
7,@juliana19,"Que buen sabor!"
33,@luciana_vega,"Quiero uno!"
40,@david22,"No me gustan las peliculas"
9,@mariagomez,"Que emocionante ese partido"
8,@david22,"Amo los autos deportivos!"
7,@luciana_vega,"Que tentacion!"
18,@juliana19,"Que desastre!"
15,@juancarlos82,"Que genial el final"
15,@pablo_santos,"Asombroso"
9,@juliana19,"Gran jugada!"
12,@david22,"Lamentablemente, no puedo comer eso"
16,@david22,"Lamentablemente, no pude ir"
4,@luciana_vega,"Fabuloso!"
9,@sofia_martin,"Increible encuentro!"
34,@sofia_martin,"Genial!"
2,@david22,"Increible!"
10,@luciana_vega,"Quiero verla!"
25,@pablo_santos,"Fantastico!"
30,@sofia_martin,"Increible actuacion!"
26,@juliana19,"Maravilloso lugar!"
27,@andres_93,"Asqueroso!"
5,@luciana_vega,"Que mal"
10,@sofia_martin,"Fantastico!"
18,@luciana_vega,"Espectacular!"
38,@pablo_santos,"Fantastico!"
32,@pablo_santos,"Fantastico!"
4,@sofia_martin,"Hermoso dia!"
1,@luciana_vega,"Foto genial!"
29,@juancarlos82,"Amo a los gatos!"
8,@juliana19,"Increible invento!"
23,@andres_93,"Que triste noticia"
40,@andres_93,"Desastroso"
26,@pablo_santos,"Fantastico!"
8,@pablo_santos,"No me interesa la tecnologia"
27,@mariagomez,"Amo la comida italiana!"
31,@mariagomez,"Que lindo lugar para visitar"
15,@mariagomez,"Amo el cine!"
33,@david22,"Esplendido!"
30,@andres_93,"Desastroso"
11,@pablo_santos,"Me encantan los perros"
11,@luciana_vega,"Increible foto!"
1,@juancarlos82,"Odio los gatos"
11,@mariagomez,"Que lindo perro"
8,@andres_93,"Desastroso"
17,@david22,"Odio los gatos"
4,@andres_93,"Que desastroso"
16,@juliana19,"Increible experiencia!"
19,@pablo_santos,"Me encantan los perros"
14,@mariagomez,"Amo el futbol!"
6,@luciana_vega,"El color es increible!"
16,@juancarlos82,"Que hermoso destino"
6,@juancarlos82,"No me gustan los dias nublados"
1,@david22,"Maravilloso!"
13,@juancarlos82,"Que mal me siento"
30,@luciana_vega,"Sorprendente!"
11,@juancarlos82,"Odioso"
35,@sofia_martin,"Me encanta"
14,@andres_93,"Despreciable"
8,@luciana_vega,"Genial dispositivo!"
37,@sofia_martin,"Delicioso plato!"
8,@sofia_martin,"Que interesante ese gadget"
39,@david22,"Hermoso!"
24,@luciana_vega,"Quiero jugar!"
31,@luciana_vega,"Esplendido dia"
36,@luciana_vega,"Quiero volver ya!"
33,@juancarlos82,"Ese telefono parece increible"
10,@mariagomez,"Que buena pelicula"
27,@juancarlos82,"Que rica se ve esa pizza"
